,actual_class,predicted_class,correct_prediction,prediction_probability,confidence,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
1438,poisonous,poisonous,True,0.9999134516053305,high,8.61,x,h,r,f,unknown,c,w,11.4,15.33,unknown,unknown,w,u,w,t,p,unknown,d,u
48281,poisonous,poisonous,True,0.9999984794460609,high,7.64,x,i,n,f,a,c,k,8.04,8.61,unknown,i,n,unknown,k,t,z,k,g,u
38789,poisonous,poisonous,True,0.9999856909035564,high,9.06,x,unknown,u,t,x,unknown,u,8.1,18.63,s,unknown,u,unknown,u,f,f,unknown,d,a
51316,edible,edible,True,0.0028922054381134927,high,4.25,x,s,n,f,p,unknown,n,6.08,11.42,unknown,unknown,n,unknown,unknown,f,f,unknown,d,u
2890,edible,edible,True,0.0004966995808197809,high,17.97,f,y,n,f,unknown,unknown,w,23.53,18.0,s,unknown,n,unknown,unknown,t,m,unknown,d,u
47681,poisonous,poisonous,True,0.9998145487720765,high,3.4,b,t,n,f,unknown,unknown,n,8.09,5.49,unknown,unknown,w,unknown,unknown,t,unknown,k,g,w
28127,poisonous,poisonous,True,0.9999547366192449,high,5.65,s,h,n,t,d,unknown,g,4.38,11.95,unknown,t,n,unknown,unknown,f,f,unknown,d,a
35072,edible,edible,True,0.0002116743274423583,high,4.5,x,unknown,n,f,x,c,w,8.24,9.54,b,unknown,w,unknown,w,t,unknown,unknown,g,s
20770,edible,edible,True,0.0017234744200142283,high,2.56,x,h,p,f,a,c,o,4.08,6.56,unknown,unknown,o,unknown,unknown,f,f,unknown,m,a
18739,edible,edible,True,0.01742463867818231,high,2.99,f,s,w,f,d,d,w,2.9,5.21,unknown,unknown,w,unknown,unknown,f,f,unknown,m,a
44884,poisonous,poisonous,True,0.9969567849708902,high,2.69,b,y,n,f,unknown,c,g,5.5,4.15,s,s,w,unknown,unknown,f,f,unknown,d,a
58825,poisonous,poisonous,True,0.9989860044977417,high,21.02,x,s,k,f,p,unknown,y,5.06,34.36,unknown,unknown,n,unknown,unknown,f,f,unknown,d,a
45864,edible,edible,True,0.0018688307341803753,high,1.23,b,g,g,f,unknown,unknown,g,3.82,1.76,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
27504,poisonous,poisonous,True,0.9997520133424235,high,18.34,s,k,w,t,d,d,n,6.22,30.25,unknown,unknown,w,unknown,unknown,f,f,unknown,d,w
9156,poisonous,poisonous,True,0.9981239710844504,high,8.94,x,unknown,w,f,x,c,w,9.2,10.46,r,i,w,unknown,unknown,f,f,unknown,d,a
6958,edible,edible,True,0.0021368801198517104,high,4.04,x,unknown,r,f,a,unknown,r,5.87,7.55,unknown,unknown,w,unknown,unknown,f,f,unknown,l,a
19358,poisonous,poisonous,True,0.999883895378211,high,4.03,x,t,y,f,a,c,y,5.53,7.72,unknown,g,o,unknown,unknown,f,f,unknown,g,a
46352,edible,edible,True,0.021514384728025613,high,4.65,f,unknown,n,f,x,c,w,6.39,3.51,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
30955,poisonous,poisonous,True,0.9975267083049504,high,6.8,s,unknown,r,t,d,unknown,o,5.06,11.89,unknown,unknown,w,unknown,unknown,t,f,unknown,d,a
27488,poisonous,poisonous,True,0.9996939289298793,high,14.7,x,k,w,t,d,d,n,6.71,30.67,unknown,unknown,w,unknown,unknown,f,f,unknown,d,u
2099,edible,edible,True,8.050743277549047e-05,high,5.02,x,unknown,w,f,e,unknown,w,5.4,11.67,b,unknown,y,u,y,t,g,unknown,d,u
8100,poisonous,poisonous,True,0.9974286360079905,high,2.93,f,d,b,f,x,c,w,4.76,3.24,b,s,n,unknown,unknown,f,f,unknown,l,a
36415,poisonous,poisonous,True,0.999997698120878,high,3.71,x,s,y,f,unknown,c,y,9.19,7.67,unknown,unknown,y,u,w,t,z,r,d,a
12736,poisonous,poisonous,True,0.999547239438844,high,0.78,x,g,y,f,unknown,unknown,y,3.54,0.77,unknown,unknown,w,unknown,unknown,f,f,unknown,d,u
33542,edible,edible,True,0.00013355977582165865,high,7.52,x,l,w,f,d,unknown,p,3.53,9.66,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
35989,poisonous,poisonous,True,0.9997749291528473,high,4.63,x,t,o,f,a,c,n,5.33,7.07,unknown,y,o,unknown,unknown,t,z,unknown,d,w
41257,poisonous,poisonous,True,0.9998460218439233,high,5.23,x,k,n,f,a,c,y,5.44,6.06,unknown,i,n,unknown,unknown,t,unknown,unknown,d,a
33051,poisonous,poisonous,True,0.9994219559678019,high,1.97,f,i,k,f,a,unknown,p,4.0,2.55,unknown,unknown,w,unknown,unknown,f,f,p,g,a
14667,edible,edible,True,1.8082950190264416e-05,high,5.75,x,t,o,f,a,d,y,7.91,5.98,unknown,s,n,unknown,unknown,f,f,unknown,d,s
19417,poisonous,poisonous,True,0.9999409200613589,high,2.26,x,y,o,f,a,unknown,o,3.01,5.13,unknown,unknown,o,unknown,unknown,f,f,unknown,m,a
29565,poisonous,poisonous,True,0.999603683986714,high,3.03,f,w,o,t,d,c,y,3.41,6.92,unknown,unknown,n,unknown,unknown,f,f,unknown,d,a
45446,edible,edible,True,0.008517155395732974,high,2.92,b,y,n,f,unknown,c,k,6.33,3.13,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
28209,poisonous,poisonous,True,0.9972020064156497,high,8.69,s,t,g,t,d,unknown,w,4.66,12.08,unknown,t,g,unknown,unknown,f,f,unknown,d,a
19158,poisonous,poisonous,True,0.9997608453937148,high,4.83,x,t,o,f,a,c,y,6.16,7.26,unknown,g,o,unknown,unknown,f,f,unknown,g,u
16586,edible,edible,True,0.009967468408319514,high,4.65,x,y,n,f,s,unknown,g,4.25,7.26,unknown,unknown,w,unknown,unknown,f,f,unknown,d,u
57744,poisonous,poisonous,True,0.99999994589523,high,3.7,o,s,n,f,f,f,f,0.0,0.0,f,f,f,unknown,unknown,t,f,unknown,d,s
50210,poisonous,poisonous,True,0.999917836009148,high,11.57,x,e,n,t,p,unknown,e,8.91,33.2,unknown,unknown,u,unknown,unknown,f,f,unknown,d,a
33753,edible,edible,True,0.00023604416764939472,high,6.73,s,l,w,f,d,unknown,w,3.47,8.99,unknown,unknown,w,unknown,unknown,f,f,unknown,g,a
23340,poisonous,poisonous,True,0.987779748234734,high,3.88,s,unknown,u,f,a,unknown,w,4.55,7.1,unknown,unknown,w,unknown,unknown,f,f,unknown,d,u
55408,edible,edible,True,6.195458588224728e-05,high,4.46,o,l,n,f,f,f,f,5.44,19.3,unknown,unknown,n,unknown,unknown,f,f,g,l,a
5552,edible,edible,True,0.004428939649961981,high,7.08,x,unknown,n,f,s,c,p,4.8,17.61,b,unknown,u,unknown,unknown,f,f,unknown,g,a
52906,edible,edible,True,0.0002859453651606687,high,8.86,x,h,n,t,p,unknown,n,6.36,16.55,unknown,unknown,n,unknown,w,t,p,unknown,d,u
13544,poisonous,poisonous,True,0.999779161491978,high,1.6,x,g,n,f,d,d,n,1.88,2.35,unknown,s,n,unknown,unknown,f,f,unknown,h,a
34872,poisonous,poisonous,True,0.9996898465274666,high,2.24,b,g,y,f,unknown,c,n,6.29,3.38,unknown,unknown,n,unknown,unknown,f,f,unknown,m,a
8308,poisonous,poisonous,True,0.9998250252521528,high,2.85,f,unknown,n,f,x,c,p,8.02,3.6,unknown,unknown,p,unknown,unknown,f,f,unknown,l,u
23718,poisonous,poisonous,True,0.9912548247350186,high,4.28,f,unknown,y,f,x,unknown,w,5.12,6.54,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
45453,edible,edible,True,0.016989726526290928,high,2.45,b,y,n,f,unknown,c,k,5.54,2.4,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
41811,poisonous,poisonous,True,0.9997178202391266,high,1.56,b,h,n,f,a,unknown,n,3.63,1.23,unknown,t,n,unknown,unknown,f,f,unknown,d,u
19286,poisonous,poisonous,True,0.9999773307319906,high,4.43,x,s,o,f,a,c,y,6.42,8.34,unknown,g,o,unknown,unknown,f,f,unknown,g,a
48034,poisonous,poisonous,True,0.9999968841168044,high,7.69,x,i,n,f,a,c,n,7.99,8.13,unknown,i,n,unknown,k,t,z,k,g,u
41508,poisonous,poisonous,True,0.9999993900904051,high,11.08,x,i,o,f,a,unknown,o,11.02,23.54,r,unknown,o,unknown,unknown,t,r,n,d,a
37741,poisonous,poisonous,True,0.9999947594559798,high,1.97,p,t,n,f,a,c,g,7.0,2.51,unknown,t,y,unknown,unknown,t,e,unknown,m,s
45148,poisonous,poisonous,True,0.9953204377451562,high,4.82,b,y,n,f,unknown,c,g,5.87,4.59,s,s,w,unknown,unknown,f,f,unknown,d,u
12148,poisonous,poisonous,True,0.9999740479617735,high,3.18,b,w,u,f,a,c,g,5.85,6.44,unknown,s,u,unknown,unknown,f,f,unknown,l,a
4401,edible,edible,True,1.56002726862036e-05,high,2.19,s,y,n,f,a,d,p,6.52,2.92,unknown,i,n,unknown,unknown,f,f,unknown,h,u
33574,edible,edible,True,0.0002764400296131179,high,6.32,s,l,w,f,d,unknown,p,3.28,7.22,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
49478,edible,edible,True,0.000631334541583117,high,7.0,x,d,n,t,p,unknown,y,8.88,17.16,unknown,unknown,y,unknown,unknown,f,f,unknown,d,u
26320,edible,edible,True,0.001125969647984465,high,11.47,s,s,u,f,x,unknown,n,6.4,22.3,unknown,unknown,n,unknown,unknown,f,f,unknown,d,u
21498,edible,edible,True,4.653404799268765e-05,high,4.54,f,t,n,f,d,unknown,o,6.17,8.51,unknown,t,w,unknown,unknown,f,f,unknown,d,w
51829,edible,edible,True,0.00016346579895751894,high,20.98,p,d,e,f,p,unknown,w,17.29,35.42,s,y,w,unknown,unknown,f,f,unknown,d,u
49429,edible,edible,True,0.0006631131218696204,high,7.77,x,d,n,t,p,unknown,y,8.54,16.59,unknown,unknown,y,unknown,unknown,f,f,unknown,d,a
18345,edible,edible,True,0.0029378178026022374,high,6.96,f,s,n,f,s,c,w,5.56,9.99,b,i,n,unknown,unknown,f,f,unknown,g,a
11746,edible,edible,True,0.00017448231380096622,high,1.43,c,g,n,t,a,unknown,w,6.09,1.01,unknown,unknown,n,unknown,unknown,f,f,unknown,d,u
55848,edible,edible,True,0.004883652838410328,high,6.22,s,unknown,n,f,unknown,unknown,w,4.62,23.12,unknown,unknown,n,unknown,unknown,f,f,unknown,d,u
54498,edible,edible,True,1.8916759783108136e-05,high,6.36,s,w,y,f,f,f,f,6.01,15.5,unknown,unknown,y,unknown,unknown,f,f,unknown,d,a
24932,edible,edible,True,0.0007509490967828454,high,6.41,f,s,u,f,a,c,w,4.12,15.49,unknown,unknown,w,unknown,unknown,f,f,unknown,d,u
47606,poisonous,poisonous,True,0.9997858045341347,high,3.2,b,unknown,g,f,a,unknown,n,9.9,2.59,unknown,unknown,n,unknown,w,f,f,k,g,a
58802,poisonous,poisonous,True,0.9989455270414498,high,22.26,x,g,n,f,p,unknown,y,6.14,45.1,unknown,unknown,n,unknown,unknown,f,f,unknown,d,a
43643,edible,edible,True,0.00024407183851083165,high,9.64,p,i,n,t,e,unknown,p,8.49,15.33,unknown,y,w,unknown,unknown,t,l,unknown,d,a
27700,poisonous,poisonous,True,0.9946522215725627,high,6.21,s,d,n,t,d,c,w,4.83,8.16,unknown,unknown,n,unknown,unknown,f,f,unknown,d,a
39379,poisonous,poisonous,True,0.9976700307760599,high,5.62,c,e,y,t,x,c,y,5.04,12.51,unknown,unknown,w,unknown,unknown,f,f,unknown,g,a
60583,edible,edible,True,0.0006334323091810624,high,6.43,p,unknown,n,f,f,f,f,5.54,20.09,unknown,unknown,n,unknown,unknown,f,f,unknown,d,s
53509,poisonous,poisonous,True,0.9973680717152261,high,11.25,f,t,n,t,d,c,n,5.75,16.43,unknown,unknown,n,unknown,unknown,f,f,unknown,d,u
8046,poisonous,poisonous,True,0.9961176014201572,high,2.82,f,d,n,f,x,c,w,3.63,2.8,b,s,n,unknown,unknown,f,f,unknown,d,a
59898,poisonous,poisonous,True,0.9999824260830154,high,2.8,o,unknown,k,f,f,f,f,2.79,13.82,unknown,g,n,unknown,unknown,f,f,unknown,d,a
31707,edible,edible,True,2.97613675901583e-05,high,7.71,x,y,n,f,e,c,p,5.37,10.11,unknown,y,n,unknown,unknown,f,f,unknown,d,a
5915,edible,edible,True,0.00030732068772711075,high,12.51,s,e,g,f,d,c,w,10.12,25.57,s,unknown,w,unknown,unknown,f,f,unknown,d,w
56646,poisonous,poisonous,True,0.999999998845297,high,3.49,o,t,n,f,unknown,c,w,0.0,0.0,f,f,f,unknown,unknown,f,f,n,d,a
4671,edible,edible,True,8.589088696834088e-06,high,3.27,x,unknown,b,f,unknown,d,u,6.5,4.92,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
49159,edible,edible,True,0.0005761777591965933,high,6.78,x,d,n,t,p,unknown,y,5.1,10.9,unknown,unknown,e,unknown,unknown,f,f,unknown,d,a
24694,edible,edible,True,8.336146487085991e-05,high,10.29,x,e,l,f,x,c,w,6.82,19.09,unknown,unknown,w,unknown,unknown,f,f,unknown,d,u
41807,poisonous,poisonous,True,0.9995358343457251,high,1.67,b,h,n,f,a,unknown,n,4.61,1.58,unknown,t,n,unknown,unknown,f,f,unknown,d,u
10822,poisonous,poisonous,True,0.9984477668690199,high,1.88,b,unknown,n,f,a,unknown,g,5.08,2.19,unknown,s,g,unknown,unknown,f,f,unknown,d,a
26525,poisonous,poisonous,True,0.929407247379411,high,8.53,f,unknown,y,f,x,c,n,6.6,12.18,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
51408,edible,edible,True,0.003012335593460535,high,4.86,x,s,n,f,p,unknown,n,4.48,9.95,unknown,unknown,n,unknown,unknown,f,f,unknown,d,a
3977,poisonous,poisonous,True,0.9998216851718438,high,3.96,x,y,n,f,a,unknown,w,5.77,3.63,unknown,y,y,unknown,unknown,t,r,unknown,g,u
17607,edible,edible,True,0.007320336527654082,high,7.7,x,s,w,f,s,c,w,7.11,32.38,unknown,unknown,w,unknown,unknown,f,f,unknown,d,u
48895,edible,edible,True,0.00043298238535539375,high,13.06,x,t,n,t,p,unknown,y,10.18,23.76,unknown,unknown,n,unknown,unknown,f,f,unknown,d,u
17993,edible,edible,True,0.02712941232676636,high,8.49,x,unknown,g,f,a,unknown,w,7.26,13.85,unknown,unknown,w,unknown,unknown,f,f,unknown,g,a
14577,edible,edible,True,0.0006658363658941484,high,5.22,x,h,n,f,a,d,y,7.25,5.34,unknown,s,n,unknown,unknown,f,f,unknown,d,a
25271,edible,edible,True,0.00024462209612709766,high,15.66,f,s,k,f,a,d,k,8.17,23.18,unknown,unknown,w,unknown,unknown,f,f,w,d,u
20700,edible,edible,True,0.02107597262904623,high,3.91,x,d,o,f,a,c,o,4.34,6.72,unknown,unknown,o,unknown,unknown,f,f,unknown,g,w
57498,poisonous,poisonous,True,0.9993333560244727,high,1.45,x,k,n,f,unknown,unknown,n,3.94,1.44,unknown,unknown,n,unknown,unknown,f,f,unknown,d,w
3688,poisonous,poisonous,True,0.9886842517897694,high,3.07,f,y,n,f,e,c,n,4.63,3.62,unknown,k,w,unknown,unknown,t,e,unknown,m,a
57539,poisonous,poisonous,True,0.9999999960282449,high,3.43,o,s,o,f,f,f,f,0.0,0.0,f,f,f,unknown,unknown,t,f,unknown,d,s
10657,poisonous,poisonous,True,0.9997623076556369,high,2.25,b,unknown,n,f,a,unknown,g,5.4,2.33,unknown,s,n,unknown,unknown,f,f,unknown,d,u
33398,poisonous,poisonous,True,0.9945752876844568,high,11.89,x,s,n,f,s,unknown,p,7.1,16.58,unknown,i,n,unknown,unknown,f,f,unknown,d,u
8831,poisonous,poisonous,True,0.9987959396972191,high,9.71,x,unknown,n,f,x,c,w,10.65,12.79,r,i,w,unknown,unknown,f,f,unknown,h,a
27803,poisonous,poisonous,True,0.9978503382340836,high,6.33,s,d,n,t,d,c,w,6.62,9.27,unknown,unknown,e,unknown,unknown,f,f,unknown,d,a
24062,edible,edible,True,0.0016238528337819658,high,8.43,x,unknown,e,f,x,c,w,7.93,19.27,unknown,s,w,unknown,unknown,f,f,unknown,d,u
22444,edible,edible,True,0.0036363062124053092,high,6.83,x,h,y,t,x,c,y,7.51,13.15,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
35478,poisonous,poisonous,True,0.9996691179942075,high,7.41,x,y,y,f,a,c,y,10.17,9.83,unknown,y,n,unknown,unknown,t,unknown,unknown,d,u
59909,poisonous,poisonous,True,0.9999311740747856,high,3.71,o,unknown,k,f,f,f,f,4.62,19.36,unknown,g,n,unknown,unknown,f,f,unknown,d,a
37179,poisonous,poisonous,True,0.9999239633894348,high,4.66,x,y,r,f,s,c,g,5.74,7.3,unknown,y,n,unknown,unknown,t,e,k,d,u
41615,poisonous,poisonous,True,0.9999995618808969,high,10.53,x,i,o,f,a,unknown,y,11.8,22.19,r,unknown,o,unknown,unknown,t,r,n,d,u
29402,poisonous,poisonous,True,0.9996457013018446,high,2.88,f,w,o,t,d,c,y,3.32,4.96,unknown,unknown,n,unknown,unknown,f,f,unknown,d,a
570,poisonous,poisonous,True,0.9982285937080276,high,8.14,p,g,n,f,e,unknown,w,8.67,15.08,unknown,y,w,u,w,t,p,unknown,d,u
19556,poisonous,poisonous,True,0.9998320361059156,high,2.52,f,y,o,f,d,unknown,o,3.44,6.03,unknown,unknown,o,unknown,unknown,f,f,unknown,h,a
6652,edible,edible,True,0.0009564896766693779,high,5.72,s,unknown,n,f,d,c,w,5.19,8.36,unknown,s,w,unknown,unknown,f,f,unknown,d,u
1070,edible,edible,True,0.0033434385090932296,high,8.84,x,unknown,n,t,unknown,unknown,w,10.87,16.99,b,unknown,w,u,w,t,g,unknown,d,a
35677,poisonous,poisonous,True,0.9999244801663221,high,4.4,x,h,n,f,a,c,n,4.44,6.44,unknown,y,n,unknown,unknown,t,z,unknown,d,a
36105,edible,edible,True,0.0004982748968222217,high,4.14,x,h,n,f,x,c,w,5.41,4.84,unknown,y,n,unknown,unknown,t,r,unknown,d,u
38089,poisonous,poisonous,True,0.9999020097144731,high,0.86,b,t,y,f,unknown,c,k,3.32,2.44,unknown,unknown,n,unknown,unknown,t,f,unknown,g,a
6161,poisonous,poisonous,True,0.9829939361535491,high,6.83,f,unknown,g,f,d,c,w,5.15,10.85,b,unknown,n,unknown,unknown,f,f,unknown,d,w
13826,poisonous,poisonous,True,0.9999593326521187,high,8.59,f,h,n,f,x,unknown,w,15.6,8.25,r,g,n,unknown,unknown,f,f,unknown,d,a
22914,poisonous,poisonous,True,0.9962324371809376,high,7.64,f,t,y,f,x,c,y,6.76,16.5,unknown,unknown,y,unknown,unknown,f,f,unknown,d,a
51995,edible,edible,True,1.1378579056002775e-05,high,7.53,x,unknown,g,t,p,unknown,g,12.06,25.8,unknown,y,w,unknown,unknown,f,f,unknown,d,u
29681,edible,edible,True,0.0144573963852938,high,3.31,s,d,g,t,d,c,p,4.63,5.92,unknown,unknown,n,unknown,unknown,f,f,unknown,d,a
20800,edible,edible,True,6.14243393878926e-05,high,3.79,x,h,e,f,a,c,o,5.21,6.84,unknown,unknown,e,unknown,unknown,f,f,unknown,m,w
59371,poisonous,poisonous,True,0.9999989721866526,high,3.63,o,unknown,w,f,f,f,f,5.34,30.57,unknown,g,w,unknown,unknown,t,f,unknown,p,u
23659,poisonous,poisonous,True,0.9952182232131784,high,3.9,f,unknown,e,f,x,unknown,w,5.19,6.37,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
47238,poisonous,poisonous,True,0.9993086919421424,high,1.35,x,unknown,n,f,unknown,unknown,n,4.62,2.36,unknown,s,n,unknown,unknown,f,f,k,g,a
45325,edible,edible,True,0.015281493354923514,high,3.0,b,y,n,f,unknown,c,n,5.83,2.28,unknown,unknown,w,unknown,unknown,f,f,unknown,d,u
2626,edible,edible,True,2.8349770710971076e-05,high,6.12,c,t,n,f,e,unknown,w,12.13,12.18,unknown,s,n,u,w,f,f,unknown,d,u
58389,edible,edible,True,0.00027475303409478757,high,52.61,o,y,y,f,p,unknown,y,7.48,44.34,unknown,k,n,unknown,unknown,f,f,unknown,d,s
47439,poisonous,poisonous,True,0.9999730292152352,high,3.44,b,unknown,k,f,a,unknown,n,11.22,2.77,unknown,unknown,g,unknown,w,f,f,k,g,u
20524,edible,edible,True,0.0016904019943992904,high,3.41,x,h,e,f,a,c,o,4.24,6.31,unknown,unknown,o,unknown,unknown,f,f,unknown,g,u
53180,edible,edible,True,1.540093040771342e-05,high,8.21,x,h,n,f,p,d,y,8.12,12.92,unknown,s,n,unknown,unknown,f,f,unknown,d,u
4568,edible,edible,True,2.3712336438137297e-05,high,2.73,s,y,n,f,a,d,p,5.31,3.41,unknown,i,n,unknown,unknown,f,f,unknown,l,u
39795,poisonous,poisonous,True,0.999953163136467,high,5.27,c,i,y,f,unknown,c,n,7.0,8.07,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
34849,poisonous,poisonous,True,0.999722779013039,high,1.83,b,g,y,f,unknown,c,n,6.26,2.89,unknown,unknown,n,unknown,unknown,f,f,unknown,g,u
38459,poisonous,poisonous,True,0.9998269863703283,high,8.74,x,e,n,f,a,unknown,n,7.23,15.52,s,unknown,n,unknown,e,f,f,unknown,d,a
9388,edible,edible,True,0.00019318049691892633,high,2.51,b,g,n,f,x,d,w,4.23,2.95,unknown,unknown,y,unknown,unknown,f,f,unknown,g,a
23681,poisonous,poisonous,True,0.9896047136969253,high,3.79,x,unknown,p,f,x,unknown,w,5.15,6.17,unknown,unknown,w,unknown,unknown,f,f,unknown,d,u
35094,edible,edible,True,0.0002805660510891768,high,4.56,x,unknown,w,f,x,c,w,7.77,8.11,b,unknown,w,unknown,w,t,unknown,unknown,g,s
50948,poisonous,poisonous,True,0.9994702210970726,high,8.21,p,unknown,n,f,p,unknown,w,9.73,23.97,c,unknown,n,unknown,unknown,f,f,w,d,a
54707,edible,edible,True,0.00012807532222356194,high,2.67,x,w,y,f,f,f,f,2.38,10.73,unknown,unknown,y,unknown,unknown,f,f,unknown,d,u
6638,edible,edible,True,0.0012825663472279404,high,6.3,s,unknown,n,f,d,c,w,4.97,7.68,unknown,s,w,unknown,unknown,f,f,unknown,d,a
47933,poisonous,poisonous,True,0.9994977338717018,high,3.75,b,h,n,f,unknown,unknown,k,9.37,6.03,unknown,unknown,w,unknown,unknown,t,unknown,k,g,u
38695,poisonous,poisonous,True,0.9995174281197805,high,7.69,x,unknown,n,t,x,unknown,n,8.34,20.21,s,unknown,u,unknown,u,f,f,unknown,d,a
